iter	Passed	Remaining
167	270	1341
168	272	1337
169	273	1334
170	274	1330
171	275	1326
172	278	1331
173	280	1329
174	281	1325
175	282	1321
176	283	1317
177	284	1313
178	285	1310
179	286	1306
180	287	1302
181	289	1299
182	290	1295
183	293	1299
184	294	1298
185	295	1294
186	296	1290
187	297	1286
188	299	1283
189	300	1279
190	301	1276
191	302	1272
192	303	1269
193	304	1266
194	306	1264
195	308	1265
196	309	1263
197	311	1259
198	312	1256
199	313	1252
200	314	1250
201	315	1247
202	316	1243
203	317	1240
204	319	1237
205	320	1233
206	322	1236
207	324	1235
208	325	1232
209	326	1229
210	327	1226
211	329	1223
212	330	1220
213	331	1216
214	332	1213
215	333	1210
216	334	1206
217	335	1204
218	338	1206
219	339	1204
220	340	1201
221	342	1199
222	343	1196
223	344	1193
224	345	1190
225	346	1186
226	347	1183
227	348	1180
228	349	1177
229	355	1191
230	357	1189
231	359	1188
232	360	1187
233	361	1184
234	362	1181
235	363	1178
236	365	1175
237	368	1178
238	369	1177
239	371	1174
240	372	1171
241	373	1168
242	374	1165
243	375	1162
244	376	1159
245	377	1157
246	378	1154
247	379	1151
248	382	1153
249	384	1153
250	385	1151
251	386	1148
252	387	1145
253	388	1142
254	390	1139
255	391	1136
256	392	1133
257	393	1131
258	394	1128
259	397	1131
260	399	1130
261	400	1128
262	401	1125
263	402	1122
264	403	1119
265	404	1117
266	406	1114
267	407	1112
268	408	1109
269	409	1106
270	412	1108
271	414	1108
272	415	1106
273	416	1104
274	418	1102
275	419	1100
276	420	1097
277	421	1095
278	422	1092
279	423	1089
280	425	1089
281	428	1091
282	429	1089
283	430	1086
284	432	1083
285	433	1081
286	434	1078
287	435	1076
288	436	1073
289	437	1071
290	438	1068
291	440	1067
292	442	1067
293	443	1066
294	445	1063
295	446	1061
296	447	1058
297	448	1056
298	449	1054
299	450	1051
300	451	1049
301	453	1047
302	454	1045
303	456	1045
304	458	1044
305	459	1041
306	460	1039
307	461	1037
308	462	1034
309	463	1032
310	464	1029
311	465	1027
312	466	1024
313	468	1022
314	469	1020
315	471	1020
316	472	1018
317	473	1016
318	475	1014
319	476	1011
320	477	1009
321	478	1007
322	479	1004
323	480	1002
324	481	1000
325	483	999
326	485	999
327	487	997
328	488	995
329	489	993
330	490	990
331	491	988
332	492	986
333	493	984
334	494	982
335	495	979
336	496	977
337	497	975
338	500	975
339	502	975
340	503	972
341	504	970
342	505	968
343	506	966
344	507	963
345	508	961
346	509	959
347	510	957
348	512	955
349	513	952
350	515	953
351	517	952
352	518	950
353	519	948
354	520	945
355	521	943
356	522	941
357	523	939
358	525	937
359	526	935
360	527	933
361	528	931
362	530	930
363	532	929
364	533	927
365	534	925
366	535	923
367	536	921
368	537	919
369	538	917
370	539	915
371	540	913
372	542	911
373	544	911
374	545	909
375	547	908
376	548	906
377	549	904
378	550	901
379	551	899
380	552	897
381	553	895
382	554	893
383	555	891
384	556	889
385	559	889
386	560	888
387	562	886
388	563	884
389	564	882
390	565	880
391	566	878
392	567	876
393	568	874
394	569	872
395	570	870
396	571	868
397	574	868
398	576	867
399	577	866
400	578	864
401	579	862
402	580	860
403	581	858
404	582	856
405	583	854
406	584	852
407	585	850
408	587	848
409	590	849
410	591	848
411	592	846
412	594	844
413	595	842
414	596	840
415	597	838
416	598	836
417	599	834
418	600	832
419	601	830
420	603	830
421	605	829
422	606	827
423	607	825
424	608	823
425	609	821
426	610	819
427	611	817
428	613	816
429	614	814
430	615	812
431	616	810
432	619	810
433	620	809
434	621	807
435	622	805
436	623	803
437	625	802
438	626	800
439	627	798
440	628	796
441	629	794
442	631	793
443	633	793
444	635	792
445	636	790
446	637	789
447	638	787
448	640	785
449	641	783
450	642	781
451	643	780
452	644	778
453	645	776
454	646	774
455	649	774
456	650	773
457	652	771
458	653	770
459	654	768
460	655	766
461	658	766
462	660	765
463	663	766
464	668	769
465	669	767
466	671	766
467	672	764
468	673	762
469	675	761
470	676	759
471	678	758
472	679	756
473	681	756
474	683	755
475	685	754
476	686	753
